epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.7293568754867847,0.7645374485866284,0.6341227269766507,0.6386008883803923
2,0.5311882895705546,0.5900597731621677,0.7168922813502248,0.6996884123768117
3,0.38544150914162273,0.45571060709980715,0.8119549164911176,0.768864571144346
4,0.27577394267621325,0.3151982740027822,0.8383882767684364,0.853208900149319
5,0.2096252030616547,0.22752053236726583,0.8886372622861324,0.8547323938321147
6,0.13750392171620365,0.1895141264318221,0.9454108025768767,0.8829382206554831
7,0.0984172124095962,0.13762111045884023,0.9317566225875505,0.9029338532373392
8,0.10014350330259718,0.12517292881651845,0.9535771587283582,0.9622450170781646
9,0.09945198141171273,0.0989343146796517,1.0009806588213923,0.9759576065396344
10,0.08090793015430878,0.056851290792546354,0.9708036242203616,0.970682114507601
11,0.060670702308118135,0.06528866602752542,1.009401545128232,0.9661909244335609
12,0.043561425424976125,0.07688357500307287,0.9917260738683944,0.9877708936574344
13,0.04680773047300934,0.05361987307573901,1.0146893507442698,0.9965864815649894
14,0.042254150011272945,0.026609551410491872,0.9904208357233139,1.0221897455954412
15,0.033865664150319864,0.023011300451599957,1.0016345743389086,0.9952892637911425
